/Users/dzhanguzin/dev/personal/harness_tester_challenge/audit_work/council/deep_firmware_spec_20260606/deep_firmware_repro.cpp:108:29: runtime error: shift exponent 32 is too large for 32-bit type 'int'
SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior /Users/dzhanguzin/dev/personal/harness_tester_challenge/audit_work/council/deep_firmware_spec_20260606/deep_firmware_repro.cpp:108:29
i=0 mask=0x0000000000000001
i=1 mask=0x0000000000000002
i=2 mask=0x0000000000000004
i=3 mask=0x0000000000000008
i=4 mask=0x0000000000000010
i=5 mask=0x0000000000000020
i=6 mask=0x0000000000000040
i=7 mask=0x0000000000000080
i=8 mask=0x0000000000000100
i=9 mask=0x0000000000000200
i=10 mask=0x0000000000000400
i=11 mask=0x0000000000000800
i=12 mask=0x0000000000001000
i=13 mask=0x0000000000002000
i=14 mask=0x0000000000004000
i=15 mask=0x0000000000008000
i=16 mask=0x0000000000010000
i=17 mask=0x0000000000020000
i=18 mask=0x0000000000040000
i=19 mask=0x0000000000080000
i=20 mask=0x0000000000100000
i=21 mask=0x0000000000200000
i=22 mask=0x0000000000400000
i=23 mask=0x0000000000800000
i=24 mask=0x0000000001000000
i=25 mask=0x0000000002000000
i=26 mask=0x0000000004000000
i=27 mask=0x0000000008000000
i=28 mask=0x0000000010000000
i=29 mask=0x0000000020000000
i=30 mask=0x0000000040000000
i=31 mask=0xffffffff80000000
