# Schematic-derived J3 to U4 mapping.
# harness_index,net,expander_port,expander_bit
0,CBL_0,0,0
1,CBL_1,0,1
2,CBL_2,0,2
3,CBL_3,0,3
4,CBL_4,0,4
5,CBL_5,0,5
6,CBL_6,0,6
7,CBL_7,0,7
8,CBL_8,1,0
9,CBL_9,1,1
10,CBL_10,1,2
11,CBL_11,1,3
12,CBL_12,1,4
13,CBL_13,1,5
14,CBL_14,1,6
15,CBL_15,1,7
16,CBL_16,2,0
17,CBL_17,2,1
18,CBL_18,2,2
19,CBL_19,2,3
20,CBL_20,3,0
21,CBL_21,3,1
22,CBL_22,3,2
23,CBL_23,3,3
24,CBL_24,3,4
25,CBL_25,3,5
26,CBL_26,3,6
27,CBL_27,3,7
28,CBL_28,4,0
29,CBL_29,4,1
30,CBL_30,4,2
31,CBL_31,4,3
32,CBL_32,4,4
33,CBL_33,4,5
34,CBL_34,4,6
35,CBL_35,4,7
36,CBL_36,5,0
37,CBL_37,5,1
38,CBL_38,5,2
39,CBL_39,5,3
